Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Strongly-Connected ID,Clustering Coefficient,Eigenvector Centrality
Austin-Conlon,Austin-Conlon,0,9,9,10.0,0.0,10.0,4.0,2.0464646464646465,0.0,0.0,0.004854369,33,4.7981039363461823E-4,0,983,0.0,0.0
Kashif-Imran,Kashif-Imran,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,33,5.251263122401269E-4,0,0,0.0,0.0029676092115891372
Vasily-Smith,Vasily-Smith,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,33,5.251263122401269E-4,0,1,0.0,0.0029676092115891372
Rahama-Sani,Rahama-Sani,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,33,5.251263122401269E-4,0,2,0.0,0.0029676092115891372
Mohammed-Hassan-Raza-Rafiq-(Hassan-for-Short),Mohammed-Hassan-Raza-Rafiq-(Hassan-for-Short),1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,33,5.251263122401269E-4,0,3,0.0,0.0029676092115891372
Sushil-Malhotra,Sushil-Malhotra,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,33,5.251263122401269E-4,0,4,0.0,0.0029676092115891372
Anonymous,Anonymous,56,932,988,1461.0,229.0,1232.0,3.0,1.056065239551478,78714.5,0.014496439,0.048543688,0,0.0045340102817543896,0,979,1.7958316E-4,1.0
Gordon-Hide,Gordon-Hide,4,0,4,4.0,4.0,0.0,0.0,0.0,0.0,0.0012716175,0.0,33,5.777649791670529E-4,0,980,0.0,0.017424971123863178
Tavern-Senses,Tavern-Senses,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,33,5.251263122401269E-4,0,981,0.0,0.0029676092115891372
Tigiripalli-Krishna-Kanth,Tigiripalli-Krishna-Kanth,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,33,5.251263122401269E-4,0,982,0.0,0.0029676092115891372
Hassan-Elagouz,Hassan-Elagouz,1,8,9,10.0,1.0,9.0,4.0,2.04868154158215,0.0,5.08647E-4,0.009708738,0,5.368514988440074E-4,0,988,0.04761905,0.005744876350342447
Waqar-Rasool,Waqar-Rasool,4,0,4,7.0,7.0,0.0,0.0,0.0,0.0,0.0012716175,0.0,0,6.539257515039887E-4,0,5,0.25,0.3112182830711877
Tanzil-Khader,Tanzil-Khader,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.368514988440074E-4,0,984,0.0,0.005744876350342447
Sadiq-Hassan,Sadiq-Hassan,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.368514988440074E-4,0,985,0.0,0.005744876350342447
Atheeb-Ur-Rahman,Atheeb-Ur-Rahman,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.368514988440074E-4,0,986,0.0,0.005744876350342447
Aamer-Gibraan,Aamer-Gibraan,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.368514988440074E-4,0,987,0.0,0.005744876350342447
Kawthar-Abdullah,Kawthar-Abdullah,4,0,4,5.0,5.0,0.0,0.0,0.0,0.0,0.0012716175,0.0,0,6.542764434698483E-4,0,6,0.16666667,0.30844101593243445
Mohammed-Fawzi-A-Amadu,Mohammed-Fawzi-A-Amadu,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,7,0.0,0.2967609211589137
Abdullah-R-Merji,Abdullah-R-Merji,2,0,2,3.0,3.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,0,5.519194196549504E-4,0,8,0.5,0.29972853037050284
Cj-Romel,Cj-Romel,0,2,2,2.0,0.0,2.0,4.0,2.053916581892167,0.0,0.0,0.004854369,82,4.7981039363461823E-4,0,990,0.0,0.0
Mike-Rumore,Mike-Rumore,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,82,7.208086880366417E-4,0,989,0.0,0.0059352184231782745
Wayne-Allen-Sallee,Wayne-Allen-Sallee,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,20,5.247298684916452E-4,0,9,0.0,0.29972853037050284
Stewart-Alsop,Stewart-Alsop,0,7,7,7.0,0.0,7.0,1.0,1.0,0.0,0.0,0.004854369,2,4.7981039363461823E-4,0,998,0.0,0.0
Mustapha-Tahir,Mustapha-Tahir,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.380737175559865E-4,0,991,0.0,0.0029676092115891372
Zango-Ibrahim,Zango-Ibrahim,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.380737175559865E-4,0,992,0.0,0.0029676092115891372
William-Jackson,William-Jackson,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.380737175559865E-4,0,993,0.0,0.0029676092115891372
Antonia-Anni,Antonia-Anni,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.380737175559865E-4,0,994,0.0,0.0029676092115891372
Koye-Beckley,Koye-Beckley,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.380737175559865E-4,0,995,0.0,0.0029676092115891372
David-Njoku,David-Njoku,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,2,5.788580443009443E-4,0,996,0.0,0.0059352184231782745
Ama-Mgbeoji,Ama-Mgbeoji,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,2,5.788580443009443E-4,0,997,0.0,0.0059352184231782745
Tiffany-Huang,Tiffany-Huang,0,4,4,4.0,0.0,4.0,1.0,1.0,0.0,0.0,0.004854369,1,4.7981039363461823E-4,0,1002,0.0,0.0
Ritika-Jain,Ritika-Jain,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,1,5.817712104970127E-4,0,999,0.0,0.0029676092115891372
Cheenu-Madan,Cheenu-Madan,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,1,5.817712104970127E-4,0,1000,0.0,0.0029676092115891372
Vignesh-Chandrasekaran,Vignesh-Chandrasekaran,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,1,5.817712104970127E-4,0,1001,0.0,0.0029676092115891372
Virali-Modi,Virali-Modi,7,0,7,9.0,9.0,0.0,0.0,0.0,0.0,0.002034588,0.0,0,9.857163495785926E-4,0,10,0.04761905,0.31456657642844854
Fathi-Chaima,Fathi-Chaima,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,11,0.0,0.2967609211589137
Mary-Moore,Mary-Moore,3,0,3,5.0,5.0,0.0,0.0,0.0,0.0,0.001017294,0.0,0,5.342145956416354E-4,0,12,0.16666667,0.30269613958209196
