Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Strongly-Connected ID,Clustering Coefficient,Eigenvector Centrality
Michael-Baucum,Michael-Baucum,13,0,13,13.0,13.0,0.0,0.0,0.0,0.0,0.0038450975,0.0,2,0.011814504091294848,0,0,0.15384616,0.1547542319439404
Bri-Mendiola,Bri-Mendiola,1,1,2,4.0,2.0,2.0,8.0,4.418181818181818,0.0,5.4929964E-4,6.6822587E-4,6,0.006845911117535266,0,6,0.0,0.08500523084579778
Vivek-Mehta,Vivek-Mehta,30,1,31,31.0,30.0,1.0,8.0,4.418181818181818,0.0,0.008514144,0.009021049,2,0.012151574995492432,0,6,0.059770115,0.18401796358459957
Dan-Munro,Dan-Munro,60,0,60,60.0,60.0,0.0,0.0,0.0,0.0,0.01675364,0.0,0,0.014224498027909871,0,1,0.026553672,0.24957320584778514
Shubham-Gupta,Shubham-Gupta,3,13,16,20.0,4.0,16.0,7.0,2.875757575757576,661.9457819764789,0.0010985993,0.0013364517,3,7.591374572202313E-4,0,6,0.1,0.007218091844860714
Elvis-Law,Elvis-Law,0,3,3,3.0,0.0,3.0,8.0,3.691842900302115,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,7,0.33333334,0.0
Ryan-Davis,Ryan-Davis,0,1,1,1.0,0.0,1.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,8,0.0,0.0
Austin-Conlon,Austin-Conlon,472,21,493,606.0,582.0,24.0,7.0,3.4212121212121214,62724.80204181442,0.12990937,0.111593716,6,0.15587014784448855,0,6,0.011862034,1.0
Kelly-Erickson,Kelly-Erickson,107,0,107,128.0,128.0,0.0,0.0,0.0,0.0,0.02966218,0.0,0,0.029358346492839298,0,2,0.0392347,0.43382157254686776
Robert-Gluck,Robert-Gluck,117,8,125,144.0,136.0,8.0,6.0,3.2484848484848485,16266.779056559104,0.03240868,0.03174073,2,0.03117371372368101,0,6,0.041386556,0.4272080736428093
Kavinay-Kishor,Kavinay-Kishor,12,2,14,14.0,12.0,2.0,8.0,5.015151515151516,146.07398583174907,0.0035704477,0.0033411293,1,0.0076736104441437894,0,6,0.13186814,0.12003198880864033
Shuba-Swaminathan,Shuba-Swaminathan,42,2,44,45.0,43.0,2.0,7.0,3.536363636363636,6946.61798929048,0.011809942,0.013030404,6,0.011200146818508634,0,6,0.050211415,0.20283819542826595
Waleed-Kadous,Waleed-Kadous,74,0,74,109.0,109.0,0.0,0.0,0.0,0.0,0.020598738,0.0,1,0.01830532935834768,0,5,0.040355425,0.31910028233946025
Mike-Criner,Mike-Criner,56,9,65,69.0,56.0,13.0,6.0,2.915151515151515,30567.37996040594,0.01565504,0.017707985,0,0.02220181252953715,0,6,0.05523086,0.2939074697464327
Yanxin-Shi,Yanxin-Shi,5,2,7,7.0,5.0,2.0,8.0,4.418181818181818,650.9405798231812,0.0016478989,0.0020046777,6,0.029792679439683625,0,6,0.2,0.12052915508832603
Johnny-Ho,Johnny-Ho,57,1,58,58.0,57.0,1.0,9.0,5.415151515151515,38.60512681762681,0.01592969,0.017707985,6,0.026657908934607427,0,6,0.023182957,0.24456194288077512
Craig-Good,Craig-Good,120,0,120,146.0,146.0,0.0,0.0,0.0,0.0,0.03323263,0.0,4,0.04035583675899145,0,3,0.027380953,0.46399139832685293
Jeff-Kesselman,Jeff-Kesselman,59,0,59,60.0,60.0,0.0,0.0,0.0,0.0,0.01647899,0.0,1,0.016986391787408663,0,4,0.02980713,0.2739767228139966
Darren-Beattie,Darren-Beattie,48,2,50,50.0,48.0,2.0,8.0,4.909090909090909,281.23698490545337,0.013457841,0.014700969,1,0.012714551944605594,0,6,0.04464286,0.23177657742054342
Elena-Morozova,Elena-Morozova,2,1,3,5.0,3.0,2.0,8.0,4.418181818181818,0.0,8.2394946E-4,0.0010023388,6,0.006877815444201054,0,6,0.5,0.08756222719853823
Bruce-Bracken,Bruce-Bracken,61,6,67,81.0,74.0,7.0,6.0,3.139393939393939,13514.65455964977,0.017028289,0.01703976,0,0.01321007558094945,0,6,0.069196425,0.2475950745636996
Vallabhaneni-Srikar,Vallabhaneni-Srikar,1,7,8,9.0,1.0,8.0,6.0,2.8484848484848486,0.7916666666666666,5.4929964E-4,6.6822587E-4,4,6.941611388413206E-4,0,6,0.35714287,0.0036679245344418345
Annika-Schauer,Annika-Schauer,47,7,54,63.0,55.0,8.0,6.0,3.2363636363636363,10421.02754114627,0.013183191,0.01369863,2,0.020135169011209392,0,6,0.065476194,0.253447034905345
Azmath-Shamrad,Azmath-Shamrad,4,25,29,31.0,4.0,27.0,6.0,2.5757575757575757,459.18521320605777,0.0013732491,0.0016705646,6,8.001643245075356E-4,0,6,0.1039886,0.023532774715735495
Gulam-Gouse,Gulam-Gouse,4,5,9,9.0,4.0,5.0,8.0,3.684848484848485,9.661860744252287,0.0013732491,0.0016705646,6,8.460271812154395E-4,0,6,0.33333334,0.013682449744073864
Chethanaraj-Rao,Chethanaraj-Rao,0,3,3,3.0,0.0,3.0,7.0,3.6314199395770395,0.0,0.0,3.3411293E-4,1,5.367386671337139E-4,0,9,0.33333334,0.0
Nivedha-Shri-Shanmugam,Nivedha-Shri-Shanmugam,0,1,1,2.0,0.0,2.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,10,0.0,0.0
Amit-Singh,Amit-Singh,2,4,6,6.0,2.0,4.0,7.0,3.596969696969697,22.97548880518695,8.2394946E-4,0.0010023388,1,6.478437726958475E-4,0,6,0.23333333,0.0036924721816146795
